Std Cernox: X115076 (Ohms),X103226 (Ohms),X111705 (Ohms)
57.6278801,90.56386444,85.45301605
57.86220657,90.97922577,85.85636658
58.09657059,91.39411621,86.25907959
58.34028687,91.82574158,86.67836975
58.59324539,92.27526886,87.11409637
58.85144669,92.73355286,87.55891815
59.11300552,93.19808746,88.0101886
59.37618774,93.6652066,88.46390686
59.64641205,94.14532806,88.9297403
59.91819077,94.62845154,89.39979797
60.18913284,95.11838806,89.86885376
60.46745255,95.61614929,90.34934906
60.74790497,96.10896362,90.83504761
61.0314502,96.61671051,91.32541687
61.318479,97.12344025,91.82351715
61.60644196,97.64154938,92.32304474
61.89818909,98.16543457,92.82944244
62.19239594,98.69458801,93.3408667
62.49476501,99.226651,93.86609589
62.79943893,99.76758514,94.39511932
63.10420822,100.3116013,94.93615997
63.41263947,100.866232,95.46959137
63.7251973,101.4226178,96.01967926
64.04256226,101.9890903,96.57426178
64.36212738,102.5617828,97.1318869
64.6881778,103.1456525,97.6995459
65.01524445,103.7334048,98.27178436
65.34844482,104.3224362,98.85571136
65.6870282,104.9219366,99.44636414
66.02843048,105.5350479,100.04604
66.37465393,106.1549844,100.6523672
66.72129364,106.7785303,101.2682571
67.07709351,107.4080167,101.8852045
67.43127869,108.0502231,102.5121078
67.79516541,108.699505,103.1458832
68.15742249,109.3523962,103.7869153
68.52715729,110.014422,104.4475815
68.90082947,110.6821716,105.0997614
69.28122467,111.3673788,105.7714581
69.66500702,112.0516241,106.451022
70.05542816,112.7436807,107.1351968
70.44758514,113.4529684,107.8310315
70.84091766,114.1684119,108.5330453
71.24690887,114.8924875,109.2493005
71.65394714,115.6200476,109.9663831
72.06804871,116.3669153,110.7061258
72.4809082,117.1151251,111.4425824
72.90788757,117.8744342,112.2022729
73.3330069,118.6475995,112.9608737
73.7714801,119.4300626,113.7386246
74.21231934,120.2231531,114.5250348
74.65797424,121.0228629,115.3162009
75.10798004,121.8456723,116.1271741
75.56380554,122.6651318,116.9460519
76.02978577,123.509733,117.7811899
76.49973694,124.357341,118.6267499
76.9747345,125.2116028,119.48173
77.45916962,126.0780814,120.3485995
77.9469101,126.9653476,121.2254733
78.43133026,127.8480362,122.100163
78.92112823,128.7310919,122.9841403
79.4127066,129.6251556,123.8707117
79.91278015,130.514281,124.7677618
80.42147919,131.4607904,125.6965091
80.94599915,132.4046771,126.6459085
81.48214691,133.3739996,127.6127054
82.02466553,134.35828,128.5984552
82.57363251,135.3602185,129.5996759
83.13084015,136.3681549,130.614809
83.69877869,137.3972931,131.6571777
84.27670929,138.4488562,132.6982709
84.85848389,139.5077216,133.7742926
85.45090729,140.5928137,134.8618134
86.05066193,141.6766992,135.9573914
86.66135193,142.792337,137.0676331
87.28228577,143.9107233,138.2169055
87.90981903,145.063996,139.376463
88.54975616,146.2330939,140.5418744
89.20212158,147.4215302,141.7433228
89.85957642,148.6214191,142.970788
90.52674133,149.8401538,144.1992609
91.20869385,151.0870453,145.4686639
91.89920593,152.3460663,146.736557
92.60294342,153.6366919,148.0430817
93.31745422,154.9426495,149.3778247
94.04323914,156.2626404,150.7186511
94.78531769,157.6151514,152.1024048
95.53973114,158.985907,153.5004779
96.29998993,160.3895251,154.917652
97.06907074,161.7987726,156.360271
97.85361237,163.238913,157.8343195
98.65029663,164.7048022,159.3285956
99.46452026,166.1904095,160.8698242
100.2741901,167.6948853,162.3972235
101.1022507,169.2098938,163.9542786
101.9519034,170.7833789,165.5629565
102.8210727,172.3789008,167.2017395
103.7048929,174.0104156,168.8758734
104.6044232,175.6650476,170.5847321
105.5142294,177.3423218,172.3264124
106.4480923,179.0633405,174.0855585
107.3925827,180.8275714,175.90039
108.3570193,182.608833,177.7465503
109.3372971,184.4059955,179.6264856
110.3396481,186.2737872,181.5280939
111.3544052,188.1534418,183.4931274
112.3951666,190.0954663,185.4852789
113.4501816,192.0413147,187.5265027
114.5288239,194.0511829,189.6036163
115.6267123,196.0831244,191.7379156
116.7497632,198.1708618,193.8989069
117.8987878,200.3102002,196.1451984
119.0616049,202.4751703,198.4232922
120.2468536,204.6855536,200.7435364
121.470202,206.9571564,203.1171399
122.7077487,209.2738104,205.5278802
123.9743579,211.6460785,208.0185553
125.266315,214.050694,210.5537579
126.585231,216.5261926,213.1556934
127.9400134,219.056488,215.8212073
129.312085,221.6274664,218.5499939
130.7303802,224.279173,221.3524384
132.166947,226.9883124,224.2252454
133.639657,229.7526923,227.156377
135.1439166,232.5942719,230.1753241
136.7083264,235.5162195,233.2849445
138.2890076,238.493031,236.461217
139.8865332,241.4997443,239.6746216
141.533208,244.6131781,243.0087506
143.228877,247.8122235,246.429549
144.9572711,251.0820026,249.9423773
146.7594788,254.4782404,253.596369
148.5948883,257.9585718,257.337168
150.4798975,261.5271387,261.1892285
152.5487531,265.4600159,265.4319641
154.5613013,269.2788879,269.5655823
156.5855078,273.1287708,273.7345654
158.6655768,277.0750061,278.0185144
160.7908142,281.1235889,282.4257996
162.9693616,285.2857056,286.960647
165.2153827,289.5565125,291.6295752
167.5176654,293.9707971,296.4631714
169.9160095,298.5574622,301.4853174
172.3726367,303.2605322,306.6583472
174.9175354,308.1418201,312.0312
177.5483307,313.1942065,317.595498
180.2414008,318.3977014,323.3422852
183.0703644,323.8296716,329.3535059
185.9715588,329.4142505,335.5728149
188.9656763,335.1842114,341.9778406
192.0592615,341.1565466,348.6519275
195.2531738,347.3666858,355.5875879
198.5701416,353.7973657,362.7991626
202.0088068,360.4618787,370.290144
205.5742987,367.3898596,378.1022253
209.2819733,374.607019,386.2466455
213.1265607,382.1023987,394.7377954
217.119704,389.9031787,403.5848291
221.2828986,398.0440857,412.8635217
225.6209387,406.5478174,422.5597363
230.1349451,415.4185645,432.7189758
234.82935,424.6458423,443.3168555
239.7755609,434.4030261,454.5414453
244.9388031,444.588634,466.3079065
250.3409283,455.2727966,478.6934692
256.0072095,466.5158435,491.7570398
261.9495923,478.3236951,505.52224
268.1848901,490.7520593,520.0684692
274.7639136,503.8840149,535.4879224
281.705592,517.78677,551.8656494
289.0277295,532.4905347,569.2555322
296.7701245,548.0395947,587.7468213
304.9832312,564.6188354,607.5124512
313.701001,582.2742383,628.6311743
322.9724329,601.1378613,651.3082104
332.8778271,621.3173438,675.6723267
343.4786279,643.0259619,701.9995728
354.8287109,666.3453076,730.428479
367.0220422,691.4705933,761.246936
380.1661975,718.7661694,794.8289087
394.359342,748.3138843,831.4091724
409.7611243,780.5999097,871.5783447
426.7254236,816.328457,916.350813
445.3009204,855.7291162,965.9335449
465.7058875,899.2845972,1021.181831
488.4119922,948.110542,1083.477339
513.8661499,1003.264326,1154.305166
542.7082617,1066.291719,1236.033179
575.6155371,1138.958853,1330.938218
614.0236011,1224.882007,1443.906626
659.3986548,1327.530239,1580.201807
714.1676978,1453.356675,1749.010371
782.2099536,1612.645903,1964.815586
870.3631592,1823.261533,2253.50127
870.1718921,1822.830205,2252.973486
908.4581738,1915.743325,2381.700381
949.149668,2015.792808,2520.728301
992.360083,2122.7975,2670.410771
1038.367305,2237.924697,2832.451201
1087.160874,2361.620234,3007.546426
1139.295996,2494.993418,3197.284014
1195.954604,2641.690439,3407.344834
1255.002227,2796.939883,3630.88916
1319.341162,2967.751182,3878.616582
1387.627725,3151.620391,4146.88373
1461.505127,3352.786797,4442.135176
1540.972354,3572.883838,4767.463359
1626.738574,3813.252881,5125.244277
1718.704185,4074.705732,5517.025117
1818.290225,4363.203711,5952.370469
1928.584063,4687.365391,6445.479629
2048.505903,5045.742227,6994.583281
2177.941875,5439.421543,7602.451523
2318.535791,5874.809668,8280.405938
2473.511748,6364.335684,9048.034805
2644.180713,6913.300293,9917.026758
2831.270352,7527.753086,10897.66805
3038.013799,8221.351563,12014.88488
3266.455518,9004.818672,13287.82398
3518.570605,9888.396328,14737.44449
3801.270068,10903.88629,16420.55766
4121.511133,12083.03289,18393.65773
4479.012148,13435.06094,20679.89719
4874.537422,14970.40996,23305.48617
